Name,Sex,Event,Equipment,Age,AgeClass,Division,BodyweightKg,WeightClassKg,Squat1Kg,Squat2Kg,Squat3Kg,Squat4Kg,Best3SquatKg,Bench1Kg,Bench2Kg,Bench3Kg,Bench4Kg,Best3BenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Deadlift4Kg,Best3DeadliftKg,TotalKg,Place,Wilks,McCulloch,Glossbrenner,IPFPoints,Tested,Country,Federation,Date,MeetCountry,MeetState,MeetName
Abbie Murphy,F,SBD,Wraps,29,24-34,F-OR,59.8,60,80,92.5,105,,105,45,50,55,,55,110,120,130,,130,290,4,324.16,324.16,286.42,511.15,,,GPC-AUS,27-10-2018,Australia,VIC,Melbourne Cup
Abbie Tuong,F,SBD,Wraps,29,24-34,F-OR,58.5,60,100,110,120,,120,55,62.5,67.5,,67.5,130,140,145,,145,332.5,2,378.07,378.07,334.16,595.65,,,GPC-AUS,27-10-2018,Australia,VIC,Melbourne Cup
Ainslee Hooper,F,B,Raw,40,40-44,F-OR,55.4,56,,,,,,27.5,32.5,-35,,32.5,,,,,,32.5,1,38.56,38.56,34.12,313.97,,,GPC-AUS,27-10-2018,Australia,VIC,Melbourne Cup
Amy Moldenhauer,F,SBD,Wraps,23,20-23,F-OR,60,60,-105,-105,105,,105,67.5,72.5,-75,,72.5,132.5,-140,-140,,132.5,310,3,345.61,345.61,305.37,547.04,,,GPC-AUS,27-10-2018,Australia,VIC,Melbourne Cup
Andrea Rowan,F,SBD,Wraps,45,45-49,F-OR,104,110,120,130,140,,140,70,75,80,,80,150,160,170,,170,390,3,321.25,338.91,274.56,550.08,,,GPC-AUS,27-10-2018,Australia,VIC,Melbourne Cup
April Alvarez,F,SBD,Wraps,37,35-39,F-OR,74,75,127.5,135,142.5,,142.5,72.5,77.5,82.5,,82.5,125,135,145,,145,370,5,354.74,354.74,312.2,596.18,,,GPC-AUS,27-10-2018,Australia,VIC,Melbourne Cup
Ash Morgan,F,SBD,Wraps,23,20-23,F-OR,59.8,60,115,125,-135,,125,65,70,-75,,70,130,140,150,,150,345,1,385.63,385.63,340.74,612.23,,,GPC-AUS,27-10-2018,Australia,VIC,Melbourne Cup
Belinda Moloney,F,SBD,Wraps,35,35-39,F-OR,80.4,82.5,120,130,140,,140,67.5,72.5,77.5,,77.5,125,140,152.5,,152.5,370,5,337.62,337.62,296,575.85,,,GPC-AUS,27-10-2018,Australia,VIC,Melbourne Cup
Briony Williams,F,SBD,Wraps,36,35-39,F-OR,108,110,180,200,220,,220,90,100,,,100,200,,,,200,520,1,424.49,424.49,361.57,716.65,,,GPC-AUS,27-10-2018,Australia,VIC,Melbourne Cup
Brooke Kowalczyk,F,SBD,Wraps,37,35-39,F-OR,74.8,75,180,190,200,,200,90,95,-97.5,,95,160,170,180,,180,475,1,452.31,452.31,397.92,762.42,,,GPC-AUS,27-10-2018,Australia,VIC,Melbourne Cup
Carmen Daldry,F,SBD,Wraps,34,24-34,F-OR,82,82.5,175,185,-195,,185,85,-90,-90,,85,180,192.5,-202.5,,192.5,462.5,2,417.56,417.56,365.65,712.92,,,GPC-AUS,27-10-2018,Australia,VIC,Melbourne Cup
Christina Tsatsoulis,F,SBD,Raw,27,24-34,F-OR,102,110,135,-140,140,,140,77.5,82.5,-85,,82.5,180,-185,-185,,180,402.5,2,333.24,333.24,285.55,571.03,,,GPC-AUS,27-10-2018,Australia,VIC,Melbourne Cup
Dakoda Plumridge,F,SBD,Wraps,27,24-34,F-OR,78.6,82.5,172.5,182.5,-192.5,,182.5,92.5,100,105,,105,175,190,205,,205,492.5,1,455.17,455.17,399.56,773.08,,Australia,GPC-AUS,27-10-2018,Australia,VIC,Melbourne Cup
Deborah Carmody,F,SBD,Wraps,38,35-39,F-OR,74.7,75,-170,170,-177.5,,170,92.5,95,-97.5,,95,200,207.5,-210,,207.5,472.5,2,450.31,450.31,396.17,758.86,,,GPC-AUS,27-10-2018,Australia,VIC,Melbourne Cup
